business_id,valoreOP,date,latitude,longitude,name,cum
FNe5PPA9pyj8FjcDefCBpg,0.6493065652832358,2017-12-06,36.143956,-115.1930886,Weera Thai Restaurant,0.7409238804007008
JDZ6_yycNQFTpUZzLIKHUg,0.4755368785111623,2017-12-10,36.1349154274,-115.175822005,El Dorado Cantina,1.1803102550785258
vjhB95c5nOXflNoyq_jKzw,0.6254386492485482,2016-10-03,36.009253,-115.1169844,Nacho Daddy Henderson,0.2753158749111072
2sx52lDoiEtef7xgPCaoBw,0.8969267015434512,2017-12-11,36.1672853944,-115.139310447,VegeNation,1.693521410919235
wuQDMDlqM17jQNo0lYQZ7g,0.46284880900669206,2017-12-10,36.169326,-115.140097,Park on Fremont,0.5396800994379357
x_yLsQMQtlE0rdxnaf6J5w,0.6709541137825895,2017-12-04,36.102621,-115.171564,Fat Tuesday,1.3861478043205886
vl1aHp6pvnSmpoRQShWLjg,0.5271910091569275,2017-12-04,36.1568053738,-115.334111417,Lucille's Smokehouse Bar-B-Que,0.6978383124109233
Xj7DIGRHEchJ-VVdISazQQ,0.6873131844943282,2017-12-06,36.1073254139,-115.176578961,Javier's,1.1764571781381437
-3zffZUHoY8bQjGfPSoBKQ,0.5594405891087858,2017-12-07,36.11199,-115.177001,Michael Mina,1.1654576416292826
foQZ6guS0l49trURKh7vlA,-0.5693792226732898,2017-12-02,36.1050697031,-115.173327791,Double Barrel Roadhouse,-1.182361024820143
7fxebHYUwIF6CakxSr70iQ,0.20343669677430826,2017-12-10,36.1248436068,-115.168655058,Carnevino,0.07914239346533027
lKq4Qsz13FDcAVgp49uukQ,0.6455429811016389,2017-12-04,36.094448,-115.176184,Slice of Vegas,0.6837380161114824
ID5wWJ9C7G0hfbQilvlfxA,0.7321229887838266,2017-12-08,36.1687401,-115.1395496,La Comida,0.27825404150763156
YnmtUJGqQIQL9tz1MRyfqA,0.41067226500242526,2017-12-08,36.1034816784,-115.168514997,Michael Mina Pub 1842,0.28544745125865223
0q_BHpxbikVtPRRLRu-U0g,0.6814568182457252,2017-12-09,36.113808,-115.174438,Picasso,1.2004845590167672
J4CATH00YZrq8Bne2S4_cw,0.6685361747326231,2017-12-09,36.123472,-115.168265,CUT by Wolfgang Puck,1.1366686679560805
HWl2EbZhkhAkFgqt44yUkA,-0.14331314754660748,2017-12-09,36.1247576879,-115.170617441,Senor Frog's,0.10252910672701068
dn_ipqbm7_jUz5X3rDez_A,0.4645829512372807,2017-12-10,36.1083176,-115.174085,Todd English P.U.B.,0.794546574304928
UCpUOtvqR-NBWBNVMzJleA,0.32104274225413815,2017-12-11,36.0683706291,-115.177535906,Blue Martini Lounge,0.9684431952816572
O_C-2kZMHGnq3ZDL_OaG6Q,-0.2745223598842771,2017-12-09,36.1246035827,-115.168988486,Morels French Steakhouse & Bistro,0.14920008954210012
